dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
TwoLeadECG,1,1dCNN autoencoder,0.9914529914529915,0.00019447326485533267,0.0001,0.17780329836431494,0.0,0.26,0.8440555131464493,0.5031707317073171,1.0,unconstrained,0.4
TwoLeadECG,1,LSTM autoencoder,0.9914529914529915,0.004377539269626141,0.0001,0.5915406232687777,0.0,1.0,2.8081207093079805,0.19682926829268294,1.0,unconstrained,0.4
TwoLeadECG,1,No autoencoder,0.9914529914529915,0,0.0001,0.060101827549264714,0.0,0.22,0.28531123640457384,0.868780487804878,1.0,unconstrained,0.4
TwoLeadECG,2,1dCNN autoencoder,0.982905982905983,0.00011862044630106539,0.0001,0.17154973705965074,0.0,0.28,0.6841661339627114,0.4329268292682927,1.0,unconstrained,0.4
TwoLeadECG,2,LSTM autoencoder,0.982905982905983,0.005427480675280094,0.0001,0.8547675840004922,0.0,1.0,3.4089415898021342,0.16560975609756098,1.0,unconstrained,0.4
TwoLeadECG,2,No autoencoder,0.982905982905983,0,0.0001,0.07415830277872225,0.0,0.3,0.2957544568879905,0.7360975609756097,1.0,unconstrained,0.4
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.0001453538570785895,0.0001,0.160518456398272,0.0,0.54,0.6821244778130812,0.49121951219512194,1.0,unconstrained,0.4
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.004375793971121311,0.0001,0.5987165794811675,0.0,1.0,2.5442509434760674,0.17878048780487804,1.0,unconstrained,0.4
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.0001,0.061929368987020436,0.0,0.36,0.2631693540383416,0.8963414634146342,1.0,unconstrained,0.4
TwoLeadECG,4,1dCNN autoencoder,1.0,0.00018063616880681366,0.0001,0.1839362674803352,0.0,0.44,0.7503269307464859,0.474390243902439,1.0,unconstrained,0.4
TwoLeadECG,4,LSTM autoencoder,1.0,0.004404156934469938,0.0001,0.7053467436915691,0.0,1.0,2.877304538990414,0.17560975609756097,1.0,unconstrained,0.4
TwoLeadECG,4,No autoencoder,1.0,0,0.0001,0.0704413637613419,0.0,0.36,0.28734981411045035,0.7943902439024391,1.0,unconstrained,0.4
TwoLeadECG,5,1dCNN autoencoder,0.9956896551724138,8.87543719727546e-05,0.0001,0.16049472694107159,0.0,0.4,0.6439922750650598,0.47048780487804875,1.0,unconstrained,0.4
TwoLeadECG,5,LSTM autoencoder,0.9956896551724138,0.0057897125370800495,0.0001,0.6696574244387147,0.0,1.0,2.687030387215392,0.17634146341463414,1.0,unconstrained,0.4
TwoLeadECG,5,No autoencoder,0.9956896551724138,0,0.0001,0.06590750392461417,0.0,0.24,0.2644568092997577,0.7619512195121951,1.0,unconstrained,0.4
TwoLeadECG,1,1dCNN autoencoder,0.9914529914529915,0.00019447326485533267,0.0001,0.1896751555061688,1.0,0.28,0.9004127717802967,0.4551219512195122,1.0,unconstrained,0.5
TwoLeadECG,1,LSTM autoencoder,0.9914529914529915,0.004377539269626141,0.0001,0.6076246380599808,1.0,1.0,2.884473631233127,0.19634146341463415,1.0,unconstrained,0.5
TwoLeadECG,1,No autoencoder,0.9914529914529915,0,0.0001,0.07058416541240597,0.98,0.2,0.3350722652799744,0.7748780487804878,1.0,unconstrained,0.5
TwoLeadECG,2,1dCNN autoencoder,0.982905982905983,0.00011862044630106539,0.0001,0.1742060583650342,1.0,0.32,0.6947599425526659,0.424390243902439,1.0,unconstrained,0.5
TwoLeadECG,2,LSTM autoencoder,0.982905982905983,0.005427480675280094,0.0001,0.8595767565245545,0.98,1.0,3.428121292608692,0.16439024390243903,1.0,unconstrained,0.5
TwoLeadECG,2,No autoencoder,0.982905982905983,0,0.0001,0.07851236931435417,0.9,0.3,0.313119128613858,0.7129268292682926,1.0,unconstrained,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.0001453538570785895,0.0001,0.17072207426207586,0.94,0.48,0.7254848343934003,0.4629268292682927,1.0,unconstrained,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.004375793971121311,0.0001,0.5890658925515468,1.0,1.0,2.5032402713694797,0.18195121951219512,1.0,unconstrained,0.5
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.0001,0.06515802189557615,0.94,0.36,0.2768895406679955,0.8653658536585366,1.0,unconstrained,0.5
TwoLeadECG,4,1dCNN autoencoder,1.0,0.00018063616880681366,0.0001,0.18915567235802377,0.98,0.42,0.7716183274669179,0.4446341463414634,1.0,unconstrained,0.5
TwoLeadECG,4,LSTM autoencoder,1.0,0.004404156934469938,0.0001,0.6973441131256891,0.94,1.0,2.8446595945612967,0.18707317073170732,1.0,unconstrained,0.5
TwoLeadECG,4,No autoencoder,1.0,0,0.0001,0.07345599137312074,0.9,0.36,0.29964731429502633,0.7697560975609756,1.0,unconstrained,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896551724138,8.87543719727546e-05,0.0001,0.18196440846621253,1.0,0.4,0.7301403330967382,0.41073170731707315,1.0,unconstrained,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896551724138,0.0057897125370800495,0.0001,0.6576555597223168,1.0,1.0,2.6388723678770125,0.17634146341463414,1.0,unconstrained,0.5
TwoLeadECG,5,No autoencoder,0.9956896551724138,0,0.0001,0.07801562587609974,0.96,0.24,0.31304119054964985,0.6453658536585366,1.0,unconstrained,0.5
