dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.17152601278596172,1.0,0.0005108831,0.00027789516,0.7,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.166542271896144,1.0,0.00045489043,0.00030301348,0.6,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.16094207702487678,0.9914529914529915,0.000569692,0.0002814021,0.5,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.15830060387390227,0.9829059829059829,0.00045916744,0.00047404013,0.4,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.15885205966595775,0.9572649572649573,0.00032412444,0.0007689832,0.3,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.1638395552075607,0.9401709401709402,0.00027441545,0.0011025632,0.2,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.17742755760619783,0.9572649572649573,0.00026619792,0.0013553608,0.1,global
TwoLeadECG,1dCNN autoencoder,0.9957264957264957,0.00010420797480037436,0.0001,0.11398135116226463,0.02564102564102564,-0.4694712,0.08751109,0.0,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.9964768371138434,1.0,0.00050577597,0.0002885025,1.0,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.9559437847673311,0.9914529914529915,0.0004990086,0.00046625652,0.9,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.8886384999455965,1.0,0.00050620694,0.00029610304,0.8,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.8469789297209097,0.9829059829059829,0.0004746998,0.000418301,0.7,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.7919071815324422,1.0,0.00051621645,0.0006060552,0.6,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.744980524152808,1.0,0.00047902775,0.0002776621,0.5,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.7154763795848245,0.9829059829059829,0.00054224435,0.0014396638,0.4,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.6607109583573522,0.9914529914529915,0.0008856239,0.003257279,0.3,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.6387107653782982,0.9487179487179487,0.00012409508,0.0019601404,0.2,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.6234947357688797,0.8547008547008547,-0.0011127336,0.0055965856,0.1,global
TwoLeadECG,LSTM autoencoder,0.9957264957264957,0.0041726501658558846,0.001,0.637978149135466,0.36752136752136755,-0.13477391,0.35550553,0.0,global
TwoLeadECG,No autoencoder,0.9957264957264957,0,0.001,0.21460873336550504,1.0,0.00050153944,0.00027100177,1.0,global
TwoLeadECG,No autoencoder,0.9957264957264957,0,0.001,0.20508028091979397,1.0,0.00045463518,0.00028395015,0.9,global
TwoLeadECG,No autoencoder,0.9957264957264957,0,0.001,0.1982283083983516,1.0,0.0005100986,0.00027521758,0.8,global
TwoLeadECG,No autoencoder,0.9957264957264957,0,0.001,0.18353708273106575,1.0,0.0005018874,0.0002801009,0.7,global
TwoLeadECG,No autoencoder,0.9957264957264957,0,0.001,0.1733001702387465,1.0,0.00052456977,0.00029179503,0.6,global
