dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
MiddlePhalanxOutlineCorrect,No autoencoder,0.8344594595,0,0.0001,0.03398102641,0.95,-0.008121286,0.06407624,0.5,global
Lightning2,1dCNN autoencoder,0.6,0.0001854438742,0.0001,0.377652747,1,1.32E-05,1.27E-05,1,
Lightning2,1dCNN autoencoder,0.6,0.0001854438742,0.0001,0.313659394,0.5,-9.98E-07,7.32E-06,0.5,uniform
Lightning2,1dCNN autoencoder,0.6,0.0001854438742,0.0001,0.3466756402,1,4.14E-06,3.73E-06,0.5,example-specific
Lightning2,1dCNN autoencoder,0.6,0.0001854438742,0.0001,0.3191549027,1,4.35E-06,7.15E-07,0.5,global
Lightning2,LSTM autoencoder,0.6,0.00388139952,0.0001,1.591754374,1,0.0034882426,6.61E-05,1,
Lightning2,LSTM autoencoder,0.6,0.00388139952,0.0001,1.592642295,1,0.003531456,0.0001360178,0.5,uniform
Lightning2,LSTM autoencoder,0.6,0.00388139952,0.0001,1.590948997,1,0.00347656,8.16E-05,0.5,example-specific
Lightning2,LSTM autoencoder,0.6,0.00388139952,0.0001,1.603981798,1,0.0036229491,0.00022214651,0.5,global
Lightning2,No autoencoder,0.6,0,0.0001,0.002866688958,1,4.08E-06,3.01E-06,1,
Lightning2,No autoencoder,0.6,0,0.0001,0.000619789567,0.5,-9.29E-05,0.00010704994,0.5,uniform
Lightning2,No autoencoder,0.6,0,0.0001,0.007963397253,0.5,0.00015670061,4.10E-05,0.5,example-specific
Lightning2,No autoencoder,0.6,0,0.0001,0.005177368955,1,8.20E-06,9.83E-07,0.5,global
ItalyPowerDemand,1dCNN autoencoder,0.9636363636,0.0006304887938,0.001,0.7040165323,0.9912280702,0.02242451,0.102284625,1,
ItalyPowerDemand,1dCNN autoencoder,0.9636363636,0.0006304887938,0.001,0.1803697816,0.4912280702,-0.14991894,0.22804272,0.5,uniform
ItalyPowerDemand,1dCNN autoencoder,0.9636363636,0.0006304887938,0.001,0.5153225562,0.8859649123,-0.0052532554,0.047069848,0.5,example-specific
ItalyPowerDemand,1dCNN autoencoder,0.9636363636,0.0006304887938,0.001,0.3807923835,0.8596491228,-0.005086131,0.1509737,0.5,global
ItalyPowerDemand,LSTM autoencoder,0.9636363636,0.004042591434,0.001,0.4438024715,1,0.0005211511,0.0003069017,1,
ItalyPowerDemand,LSTM autoencoder,0.9636363636,0.0040425919,0.001,0.3677028977,0.5263157895,-0.0051756725,0.0065304,0.5,uniform
ItalyPowerDemand,LSTM autoencoder,0.9636363636,0.004042591434,0.001,0.3884775196,0.6929824561,-0.0028091515,0.005617899,0.5,example-specific
ItalyPowerDemand,LSTM autoencoder,0.9636363636,0.004042592831,0.001,0.3881276334,0.7807017544,-0.0015083925,0.004839692,0.5,global
ItalyPowerDemand,No autoencoder,0.9636363636,0,0.001,0.3397200893,1,0.00048539825,0.00029409892,1,
ItalyPowerDemand,No autoencoder,0.9636363636,0,0.001,0.04746143272,0.1578947368,-0.33422127,0.23338269,0.5,uniform
ItalyPowerDemand,No autoencoder,0.9636363636,0,0.001,0.3137863393,0.6578947368,-0.0024446698,0.0046402453,0.5,example-specific
ItalyPowerDemand,No autoencoder,0.9636363636,0,0.001,0.2731373121,0.7631578947,-0.005178476,0.043687318,0.5,global
HouseTwenty,1dCNN autoencoder,0.7698412698,0.0008330689743,0.0001,1.324816133,1,0.00030010045,0.00014747125,1,
HouseTwenty,1dCNN autoencoder,0.7698412698,0.0008330689743,0.0001,1.134146632,0.05,-0.0058834613,0.0044319695,0.5,uniform
HouseTwenty,1dCNN autoencoder,0.7698412698,0.0008330689743,0.0001,1.479586353,0.65,0.00031233727,0.0002833642,0.5,example-specific
HouseTwenty,1dCNN autoencoder,0.7698412698,0.0008330689743,0.0001,1.382497581,0.85,-0.00020740181,0.0008784273,0.5,global
HouseTwenty,LSTM autoencoder,0.7698412698,0.01498767454,0.0001,5.821156181,0,-0.000670895,5.35E-05,1,
HouseTwenty,LSTM autoencoder,0.7698412698,0.01498767454,0.0001,5.809608379,0,-0.0007061884,0.00030464065,0.5,uniform
HouseTwenty,LSTM autoencoder,0.7698412698,0.01498767454,0.0001,5.823076269,0,-0.00047616512,0.00036626725,0.5,example-specific
HouseTwenty,LSTM autoencoder,0.7698412698,0.01498767454,0.0001,5.733751659,0,-0.0009425357,0.0007625236,0.5,global
HouseTwenty,No autoencoder,0.7698412698,0,0.001,0.1976358956,1,0.0003896177,0.00023855177,1,
HouseTwenty,No autoencoder,0.7698412698,0,0.001,0.02385267868,0.15,-0.006205839,0.004783863,0.5,uniform
HouseTwenty,No autoencoder,0.7698412698,0,0.001,0.4271476451,0.95,0.00012492537,0.00066832895,0.5,example-specific
HouseTwenty,No autoencoder,0.7698412698,0,0.001,0.3269498602,1,0.00020872355,0.00022187406,0.5,global
Herring,1dCNN autoencoder,0.5125,0.0001922937954,0.0001,0.3684537156,1,0.00018155575,0.00024779188,1,
Herring,1dCNN autoencoder,0.5125,0.0001922937954,0.0001,0.3319775937,0.6666666667,-5.71E-05,0.000506378,0.5,uniform
Herring,1dCNN autoencoder,0.5125,0.0001922937954,0.0001,0.3512915066,0.6666666667,0.00022025903,0.00022150109,0.5,example-specific
Herring,1dCNN autoencoder,0.5125,0.0001922937954,0.0001,0.3495277162,1,0.00018239021,0.00024721582,0.5,global
Herring,LSTM autoencoder,0.5125,0.03895843774,0.0001,4.658003271,1,0.00029500326,7.91E-07,1,
Herring,LSTM autoencoder,0.5125,0.03895843774,0.0001,4.658003271,1,0.00029500326,7.91E-07,0.5,uniform
Herring,LSTM autoencoder,0.5125,0.03895843774,0.0001,4.658003271,1,0.00029500326,7.91E-07,0.5,example-specific
Herring,LSTM autoencoder,0.5125,0.03895843774,0.0001,4.658003271,1,0.00029500326,7.91E-07,0.5,global
Herring,No autoencoder,0.5125,0,0.0001,0.02133168382,1,1.83E-05,7.67E-06,1,
Herring,No autoencoder,0.5125,0,0.0001,0.0003636287245,0,-0.0006744166,0.00024062544,0.5,uniform
Herring,No autoencoder,0.5125,0,0.0001,0.03067989866,0.6666666667,7.35E-05,3.31E-05,0.5,example-specific
Herring,No autoencoder,0.5125,0,0.0001,0.03496310017,0.6666666667,-5.17E-05,7.51E-05,0.5,global
HandOutlines,1dCNN autoencoder,0.8855699856,4.21E-06,0.0001,0.7439660803,0.7717391304,0.043320168,0.3509131,1,
HandOutlines,1dCNN autoencoder,0.8855699856,4.21E-06,0.0001,0.2975074994,0.4347826087,-0.1748261,0.39798427,0.5,uniform
HandOutlines,1dCNN autoencoder,0.8855699856,4.21E-06,0.0001,0.6091167013,0.7282608696,0.0015016787,0.35392934,0.5,example-specific
HandOutlines,1dCNN autoencoder,0.8855699856,4.21E-06,0.0001,0.6100904793,0.7065217391,0.048469257,0.37646234,0.5,global
HandOutlines,LSTM autoencoder,0.8855699856,0.02376226522,0.0001,9.095570025,0,-0.49927577,0.0001479861,1,
HandOutlines,LSTM autoencoder,0.8855699856,0.02376226522,0.0001,7.916330577,0,-0.49999812,8.74E-06,0.5,uniform
HandOutlines,LSTM autoencoder,0.8855699856,0.02376226522,0.0001,7.948475378,0,-0.49999744,1.50E-05,0.5,example-specific
HandOutlines,LSTM autoencoder,0.8855699856,0.02376226522,0.0001,7.938542127,0,-0.49999192,6.15E-05,0.5,global
HandOutlines,No autoencoder,0.8855699856,0,0.0001,0.2311116182,0.8913043478,-0.027499005,0.114367366,1,
HandOutlines,No autoencoder,0.8855699856,0,0.0001,0.06305386326,0.5,-0.2497231,0.2502706,0.5,uniform
HandOutlines,No autoencoder,0.8855699856,0,0.0001,0.1953898122,0.7391304348,-0.10963263,0.20592284,0.5,example-specific
HandOutlines,No autoencoder,0.8855699856,0,0.0001,0.2140434803,0.7717391304,-0.066597864,0.16733055,0.5,global
Ham,1dCNN autoencoder,0.7164502165,6.69E-05,0.0001,0.2394710344,1,0.0001557827,0.00010756365,1,
Ham,1dCNN autoencoder,0.7164502165,6.69E-05,0.0001,0.1228057925,0.1666666667,-0.0015413195,0.0012501233,0.5,uniform
Ham,1dCNN autoencoder,0.7164502165,6.69E-05,0.0001,0.2526392204,0.8,0.00015806952,0.00029247164,0.5,example-specific
Ham,1dCNN autoencoder,0.7164502165,6.69E-05,0.0001,0.2229399228,1,8.51E-05,8.66E-05,0.5,global
Ham,LSTM autoencoder,0.7164502165,0.00907949172,0.0001,1.98451937,0,-0.0045700083,0.00019342714,1,
Ham,LSTM autoencoder,0.7164502165,0.009079490788,0.0001,1.986373319,0,-0.004567369,0.00016767715,0.5,uniform
Ham,LSTM autoencoder,0.7164502165,0.00907949172,0.0001,1.986775378,0,-0.004562377,0.00017177186,0.5,example-specific
Ham,LSTM autoencoder,0.7164502165,0.009079490788,0.0001,1.988257818,0,-0.0045417785,0.0001745581,0.5,global
Ham,No autoencoder,0.7164502165,0,0.0001,0.04334585276,1,6.48E-05,4.67E-05,1,
Ham,No autoencoder,0.7164502165,0,0.0001,0.0007954875131,0,-0.0022292277,0.0012333526,0.5,uniform
Ham,No autoencoder,0.7164502165,0,0.0001,0.09841396487,0.5333333333,0.00018005172,0.00017147172,0.5,example-specific
Ham,No autoencoder,0.7164502165,0,0.0001,0.0693028092,0.9333333333,1.89E-05,3.73E-05,0.5,global
GunPointOldVersusYoung,1dCNN autoencoder,1,6.27E-05,0.001,3.35865665,1,0.00045369318,0.00024963205,1,
GunPointOldVersusYoung,1dCNN autoencoder,1,6.27E-05,0.001,1.049550035,0,-0.11268484,0.031018324,0.5,uniform
GunPointOldVersusYoung,1dCNN autoencoder,1,6.27E-05,0.001,2.999040983,0.6875,-0.006231952,0.014241625,0.5,example-specific
GunPointOldVersusYoung,1dCNN autoencoder,1,6.27E-05,0.001,2.902532455,0.7083333333,-0.0024381597,0.0074322014,0.5,global
GunPointOldVersusYoung,LSTM autoencoder,1,0.009065888822,0.001,3.604372723,0.9791666667,0.0008273013,0.0032004365,1,
GunPointOldVersusYoung,LSTM autoencoder,1,0.009063878097,0.001,1.315895421,0,-0.22504945,0.032926515,0.5,uniform
GunPointOldVersusYoung,LSTM autoencoder,1,0.009065888822,0.001,2.201715213,0.2083333333,-0.102976374,0.09767095,0.5,example-specific
GunPointOldVersusYoung,LSTM autoencoder,1,0.00906590838,0.001,1.915689203,0.04166666667,-0.148955,0.080970414,0.5,global
GunPointOldVersusYoung,No autoencoder,1,0,0.001,1.475524175,0.8541666667,-0.0040700673,0.017230948,1,
GunPointOldVersusYoung,No autoencoder,1,0,0.001,0.9150447368,0,-0.10774758,0.035804827,0.5,uniform
GunPointOldVersusYoung,No autoencoder,1,0,0.001,1.42038989,0.02083333333,-0.051001105,0.041581787,0.5,example-specific
GunPointOldVersusYoung,No autoencoder,1,0,0.001,1.440326273,0.04166666667,-0.05222866,0.0360106,0.5,global
GunPointMaleVersusFemale,1dCNN autoencoder,1,8.00E-05,0.0001,0.5088939537,0.9534883721,0.00040489435,0.0011436809,1,
GunPointMaleVersusFemale,1dCNN autoencoder,1,8.00E-05,0.0001,0.03365225179,0.04651162791,-0.47657305,0.105364114,0.5,uniform
GunPointMaleVersusFemale,1dCNN autoencoder,1,8.00E-05,0.0001,0.584772546,0.6511627907,-0.01926245,0.24193133,0.5,example-specific
GunPointMaleVersusFemale,1dCNN autoencoder,1,8.00E-05,0.0001,0.4924758242,0.6511627907,-0.049054705,0.14540836,0.5,global
GunPointMaleVersusFemale,LSTM autoencoder,1,0.01083279029,0.001,1.763510996,0.8837209302,-0.000751004,0.00595156,1,
GunPointMaleVersusFemale,LSTM autoencoder,1,0.01083279215,0.001,0.6627193448,0.3953488372,-0.29062244,0.24647434,0.5,uniform
GunPointMaleVersusFemale,LSTM autoencoder,1,0.01083279029,0.001,0.7543847876,0.4651162791,-0.2556276,0.2500333,0.5,example-specific
GunPointMaleVersusFemale,LSTM autoencoder,1,0.01083279587,0.001,0.7541754565,0.4418604651,-0.24486892,0.24922551,0.5,global
GunPointMaleVersusFemale,No autoencoder,1,0,0.001,0.4675909986,1,0.0005371016,0.00032818562,1,
GunPointMaleVersusFemale,No autoencoder,1,0,0.001,0.01536048203,0.06976744186,-0.46494177,0.12753397,0.5,uniform
GunPointMaleVersusFemale,No autoencoder,1,0,0.001,0.4941835667,0.9302325581,3.46E-05,0.001973075,0.5,example-specific
GunPointMaleVersusFemale,No autoencoder,1,0,0.001,0.4787604426,0.8139534884,-0.00020337313,0.0017903533,0.5,global
GunPointAgeSpan,1dCNN autoencoder,1,6.63E-05,0.0001,0.4771958473,0.9555555556,0.00036864678,0.0011680941,1,
GunPointAgeSpan,1dCNN autoencoder,1,6.63E-05,0.0001,0.07525799831,0.4222222222,-0.25545967,0.24966112,0.5,uniform
GunPointAgeSpan,1dCNN autoencoder,1,6.63E-05,0.0001,0.4208902359,0.7777777778,0.089121,0.3380307,0.5,example-specific
GunPointAgeSpan,1dCNN autoencoder,1,6.63E-05,0.0001,0.4632327101,0.9333333333,0.003766169,0.014334309,0.5,global
GunPointAgeSpan,LSTM autoencoder,1,0.00892336946,0.001,1.763945239,0.8222222222,0.01911882,0.19707333,1,
GunPointAgeSpan,LSTM autoencoder,1,0.008923365735,0.001,0.9428602447,0.2222222222,-0.31760108,0.31180954,0.5,uniform
GunPointAgeSpan,LSTM autoencoder,1,0.00892336946,0.001,1.089835509,0.2444444444,-0.32023942,0.27579767,0.5,example-specific
GunPointAgeSpan,LSTM autoencoder,1,0.008923267946,0.001,1.12980058,0.2222222222,-0.35890567,0.23354253,0.5,global
GunPointAgeSpan,No autoencoder,1,0,0.001,0.4098205626,0.9777777778,0.0011909849,0.0043354942,1,
GunPointAgeSpan,No autoencoder,1,0,0.001,0.0685161407,0.5111111111,-0.2440941,0.25001922,0.5,uniform
GunPointAgeSpan,No autoencoder,1,0,0.001,0.3644124873,0.8666666667,-0.0004831983,0.0034186966,0.5,example-specific
GunPointAgeSpan,No autoencoder,1,0,0.001,0.3576072023,0.9555555556,0.00042130682,0.0011991446,0.5,global
GunPoint,1dCNN autoencoder,0.55,0.0001257779513,0.0001,0.1656498868,1,0.0003682673,0.0001489222,1,
GunPoint,1dCNN autoencoder,0.55,0.0001257779513,0.0001,0.1325092674,0.5,-0.00029736757,0.0008145571,0.5,uniform
GunPoint,1dCNN autoencoder,0.55,0.0001257779513,0.0001,0.1581459534,1,0.00027659535,0.00024059415,0.5,example-specific
GunPoint,1dCNN autoencoder,0.55,0.0001257779513,0.0001,0.1614106989,1,0.00028431416,0.00023287535,0.5,global
GunPoint,LSTM autoencoder,0.55,0.01234177314,0.0001,1.373974212,1,0.008859366,0.0003875792,1,
GunPoint,LSTM autoencoder,0.55,0.01234177034,0.0001,1.169130323,1,0.013207108,0.00042518973,0.5,uniform
GunPoint,LSTM autoencoder,0.55,0.01234177314,0.0001,1.173513123,1,0.013894379,0.000633657,0.5,example-specific
GunPoint,LSTM autoencoder,0.55,0.01234177034,0.0001,1.200459315,1,0.012765795,0.0018101037,0.5,global
GunPoint,No autoencoder,0.55,0,0.0001,0.01523253821,1,2.14E-05,3.28E-07,1,
GunPoint,No autoencoder,0.55,0,0.0001,0.0001993487107,0,-0.0015221536,0.0010201037,0.5,uniform
GunPoint,No autoencoder,0.55,0,0.0001,0.05757416893,0,0.00020828843,6.35E-06,0.5,example-specific
GunPoint,No autoencoder,0.55,0,0.0001,0.02384773282,0.5,-8.45E-06,2.50E-05,0.5,global
FreezerSmallTrain,1dCNN autoencoder,0.9965277778,1.31E-05,0.0001,0.2936102148,0.7587412587,0.059704132,0.37388995,1,
FreezerSmallTrain,1dCNN autoencoder,0.9965277778,1.31E-05,0.0001,0.1896082388,0.6608391608,0.028772937,0.41309512,0.5,uniform
FreezerSmallTrain,1dCNN autoencoder,0.9965277778,1.31E-05,0.0001,0.2344024422,0.7692307692,0.08757906,0.3800674,0.5,example-specific
FreezerSmallTrain,1dCNN autoencoder,0.9965277778,1.31E-05,0.0001,0.2474401855,0.7342657343,0.06996243,0.39254338,0.5,global
FreezerSmallTrain,LSTM autoencoder,0.9965277778,0.0008671004325,0.001,0.7963674121,0.9965034965,0.0005824869,0.00033431305,1,
FreezerSmallTrain,LSTM autoencoder,0.9965277778,0.0008671004325,0.001,0.4685908192,0.2062937063,-0.3961927,0.20382278,0.5,uniform
FreezerSmallTrain,LSTM autoencoder,0.9965277778,0.0008671004325,0.001,0.502657416,0.3041958042,-0.34297213,0.23224273,0.5,example-specific
FreezerSmallTrain,LSTM autoencoder,0.9965277778,0.0008671004325,0.001,0.5882200664,0.1118881119,-0.44399542,0.15778488,0.5,global
FreezerSmallTrain,No autoencoder,0.9965277778,0,0.0001,0.04700071359,0.9965034965,0.0005022692,0.00031798283,1,
FreezerSmallTrain,No autoencoder,0.9965277778,0,0.0001,0.04210946501,0.9895104895,-0.0030013802,0.041706674,0.5,uniform
FreezerSmallTrain,No autoencoder,0.9965277778,0,0.0001,0.04476309772,0.9965034965,0.00048199255,0.00089661387,0.5,example-specific
FreezerSmallTrain,No autoencoder,0.9965277778,0,0.0001,0.04444150901,0.993006993,0.00050863845,0.0006719142,0.5,global
FreezerRegularTrain,1dCNN autoencoder,1,9.73E-06,0.0001,0.1936240762,0.1033333333,-0.18668327,0.46382415,1,
FreezerRegularTrain,1dCNN autoencoder,1,9.73E-06,0.0001,0.1031816032,0.03,-0.47509807,0.14186607,0.5,uniform
FreezerRegularTrain,1dCNN autoencoder,1,9.73E-06,0.0001,0.2423864083,0.58,0.19666667,0.45969796,0.5,example-specific
FreezerRegularTrain,1dCNN autoencoder,1,9.73E-06,0.0001,0.1548441647,0.04,-0.4719021,0.14398913,0.5,global
FreezerRegularTrain,LSTM autoencoder,1,0.0008813837194,0.001,0.8895192129,0.9666666667,0.00044958096,0.0011320108,1,
FreezerRegularTrain,LSTM autoencoder,1,0.0008813837194,0.001,0.4685859583,0.1133333333,-0.4416218,0.16063492,0.5,uniform
FreezerRegularTrain,LSTM autoencoder,1,0.0008813837194,0.001,0.4843776964,0.1666666667,-0.4149088,0.18801805,0.5,example-specific
FreezerRegularTrain,LSTM autoencoder,1,0.000884070294,0.001,0.4866185407,0.04,-0.47832215,0.10185566,0.5,global
FreezerRegularTrain,No autoencoder,1,0,0.0001,0.05190274813,0.97,0.00048421224,0.00053570187,1,
FreezerRegularTrain,No autoencoder,1,0,0.0001,0.007544576453,0.1833333333,-0.40821812,0.19370933,0.5,uniform
FreezerRegularTrain,No autoencoder,1,0,0.0001,0.05006638216,0.9833333333,0.0005737588,0.0006056756,0.5,example-specific
FreezerRegularTrain,No autoencoder,1,0,0.0001,0.04987195901,0.9366666667,0.0004019165,0.00082818756,0.5,global
FordB,1dCNN autoencoder,0.789031678,8.79E-06,0.001,4.740983728,0.737804878,0.23780487,0.43982822,1,
FordB,1dCNN autoencoder,0.789031678,8.79E-06,0.001,1.093362525,0.343495935,-0.15677054,0.47454226,0.5,uniform
FordB,1dCNN autoencoder,0.789031678,8.79E-06,0.001,2.538317842,0.6077235772,0.10765841,0.48820657,0.5,example-specific
FordB,1dCNN autoencoder,0.789031678,8.79E-06,0.001,2.636774344,0.7052845528,0.20528454,0.45591477,0.5,global
FordB,LSTM autoencoder,0.789031678,0.00976169575,0.0001,2.209368823,0,-0.49597734,2.03E-05,1,
FordB,LSTM autoencoder,0.789031678,0.00976169575,0.0001,2.209325792,0,-0.49598107,3.15E-05,0.5,uniform
FordB,LSTM autoencoder,0.789031678,0.00976169575,0.0001,2.209336317,0,-0.49598062,3.02E-05,0.5,example-specific
FordB,LSTM autoencoder,0.789031678,0.00976169575,0.0001,2.209324671,0,-0.49597976,3.03E-05,0.5,global
FordB,No autoencoder,0.789031678,0,0.0001,0.07275225809,0.8170731707,-0.07698659,0.18243219,1,
FordB,No autoencoder,0.789031678,0,0.0001,0.02325144738,0.4654471545,-0.2660304,0.24971168,0.5,uniform
FordB,No autoencoder,0.789031678,0,0.0001,0.07039658189,0.7174796748,-0.10492746,0.20341484,0.5,example-specific
FordB,No autoencoder,0.789031678,0,0.0001,0.06964668197,0.7459349593,-0.09642178,0.19747747,0.5,global
FordA,1dCNN autoencoder,0.820349955,1.23E-05,0.0001,0.4641818583,0.7406716418,0.04069737,0.36872777,1,
FordA,1dCNN autoencoder,0.820349955,1.23E-05,0.0001,0.1863482443,0.3339552239,-0.2539763,0.35544264,0.5,uniform
FordA,1dCNN autoencoder,0.820349955,1.23E-05,0.0001,0.3596219866,0.598880597,-0.06130294,0.37517354,0.5,example-specific
FordA,1dCNN autoencoder,0.820349955,1.23E-05,0.0001,0.345670963,0.6268656716,-0.044278134,0.37114483,0.5,global
FordA,LSTM autoencoder,0.820349955,0.01065809932,0.001,2.475578333,0.25,-0.37227204,0.219056,1,
FordA,LSTM autoencoder,0.820349955,0.01065809932,0.001,2.307345207,0,-0.49999794,6.45E-07,0.5,uniform
FordA,LSTM autoencoder,0.820349955,0.01065809932,0.001,2.352751391,0.05410447761,-0.4710307,0.116916046,0.5,example-specific
FordA,LSTM autoencoder,0.820349955,0.01065809932,0.001,2.308395796,0,-0.49999776,1.24E-06,0.5,global
FordA,No autoencoder,0.820349955,0,0.0001,0.08275384512,0.75,-0.0982802,0.19868514,1,
FordA,No autoencoder,0.820349955,0,0.0001,0.02046075011,0.3843283582,-0.30678257,0.24358831,0.5,uniform
FordA,No autoencoder,0.820349955,0,0.0001,0.07726834367,0.6697761194,-0.13051623,0.22125018,0.5,example-specific
FordA,No autoencoder,0.820349955,0,0.0001,0.07704448649,0.6585820896,-0.13073882,0.21995835,0.5,global
ECGFiveDays,1dCNN autoencoder,1,6.87E-05,0.0001,0.2641215715,0.9772727273,0.11399102,0.22248687,1,
ECGFiveDays,1dCNN autoencoder,1,6.87E-05,0.0001,0.08945873561,0.2954545455,-0.32185748,0.29470676,0.5,uniform
ECGFiveDays,1dCNN autoencoder,1,6.87E-05,0.0001,0.2493105792,0.8522727273,0.059933614,0.22492574,0.5,example-specific
ECGFiveDays,1dCNN autoencoder,1,6.87E-05,0.0001,0.1971287963,0.9090909091,0.04786491,0.22217725,0.5,global
ECGFiveDays,LSTM autoencoder,1,0.005809984636,0.0001,1.014927182,1,0.4921784,0.004853164,1,
ECGFiveDays,LSTM autoencoder,1,0.005809984636,0.0001,0.892211111,1,0.49999878,2.70E-06,0.5,uniform
ECGFiveDays,LSTM autoencoder,1,0.005809984636,0.0001,0.8951350103,1,0.49999583,1.82E-05,0.5,example-specific
ECGFiveDays,LSTM autoencoder,1,0.005809984636,0.0001,0.8913184803,1,0.49999955,1.32E-06,0.5,global
ECGFiveDays,No autoencoder,1,0,0.0001,0.1093529107,0.9545454545,0.000751343,0.0021137462,1,
ECGFiveDays,No autoencoder,1,0,0.0001,0.002167730927,0.02272727273,-0.48295882,0.09061036,0.5,uniform
ECGFiveDays,No autoencoder,1,0,0.0001,0.1273808595,0.7272727273,0.056500975,0.2780825,0.5,example-specific
ECGFiveDays,No autoencoder,1,0,0.0001,0.1129656502,0.8181818182,0.001508388,0.0074801785,0.5,global
ECG200,1dCNN autoencoder,0.5769230769,0.0008616529522,0.0001,0.3931777294,1,3.98E-05,3.01E-05,1,
ECG200,1dCNN autoencoder,0.5769230769,0.0008616529522,0.0001,0.293987224,0,-0.002894953,0.0016726702,0.5,uniform
ECG200,1dCNN autoencoder,0.5769230769,0.0008616529522,0.0001,0.3893049934,0,4.05E-05,2.35E-05,0.5,example-specific
ECG200,1dCNN autoencoder,0.5769230769,0.0008616529522,0.0001,0.3410757184,0,-0.0022642761,0.002027586,0.5,global
ECG200,LSTM autoencoder,0.5769230769,0.008571744896,0.0001,1.295316263,1,0.0048493147,7.63E-05,1,
ECG200,LSTM autoencoder,0.5769230769,0.008571744896,0.0001,1.301833151,1,0.0049295425,1.49E-06,0.5,uniform
ECG200,LSTM autoencoder,0.5769230769,0.008571744896,0.0001,1.333845802,1,0.0050821602,0.00013718009,0.5,example-specific
ECG200,LSTM autoencoder,0.5769230769,0.008571744896,0.0001,1.31975466,1,0.0050684214,0.00013679266,0.5,global
ECG200,No autoencoder,0.5769230769,0,0.001,0.1199612496,1,0.00010818243,3.66E-05,1,
ECG200,No autoencoder,0.5769230769,0,0.001,0.001541892322,0,-0.0034487695,0.0020365864,0.5,uniform
ECG200,No autoencoder,0.5769230769,0,0.001,0.1857813273,1,1.36E-05,1.18E-05,0.5,example-specific
ECG200,No autoencoder,0.5769230769,0,0.001,0.1945087529,1,7.33E-06,1.97E-06,0.5,global
Earthquakes,1dCNN autoencoder,0.5519203414,0.0008956008824,0.0001,0.7915847474,1,0.0005124371,0.00030116423,1,
Earthquakes,1dCNN autoencoder,0.5519203414,0.0008956008824,0.0001,0.709817407,0.988372093,0.0005843324,0.0005307518,0.5,uniform
Earthquakes,1dCNN autoencoder,0.5519203414,0.0008956008824,0.0001,0.7435068231,1,0.0004963293,0.00029522149,0.5,example-specific
Earthquakes,1dCNN autoencoder,0.5519203414,0.0008956008824,0.0001,0.7346267269,1,0.00051699264,0.00058042613,0.5,global
Earthquakes,LSTM autoencoder,0.5519203414,0.013351392,0.0001,2.622970952,0,-0.43232283,0.00037104727,1,
Earthquakes,LSTM autoencoder,0.5519203414,0.013351392,0.0001,2.623276565,0,-0.43239477,0.0003823224,0.5,uniform
Earthquakes,LSTM autoencoder,0.5519203414,0.013351392,0.0001,2.623175622,0,-0.43235144,0.00038692346,0.5,example-specific
Earthquakes,LSTM autoencoder,0.5519203414,0.013351392,0.0001,2.623190725,0,-0.43236,0.00038591572,0.5,global
Earthquakes,No autoencoder,0.5519203414,0,0.001,0.5352584386,1,0.0005387075,0.00026725003,1,
Earthquakes,No autoencoder,0.5519203414,0,0.001,0.2711051405,0.9069767442,-0.01713028,0.09178995,0.5,uniform
Earthquakes,No autoencoder,0.5519203414,0,0.001,0.3991581667,1,0.00045454988,0.0002713847,0.5,example-specific
Earthquakes,No autoencoder,0.5519203414,0,0.001,0.3804689474,1,0.00048684934,0.00028903893,0.5,global
DistalPhalanxOutlineCorrect,1dCNN autoencoder,0.7908496732,0.0001478401537,0.0001,0.1747108226,0.96875,0.0004802714,0.08838044,1,
DistalPhalanxOutlineCorrect,1dCNN autoencoder,0.7908496732,0.0001478401537,0.0001,0.129101851,0.859375,-0.06208427,0.18749152,0.5,uniform
DistalPhalanxOutlineCorrect,1dCNN autoencoder,0.7908496732,0.0001478401537,0.0001,0.1462578516,0.90625,-0.030518439,0.15003695,0.5,example-specific
DistalPhalanxOutlineCorrect,1dCNN autoencoder,0.7908496732,0.0001478401537,0.0001,0.1492437401,0.859375,-0.062076606,0.18763956,0.5,global
DistalPhalanxOutlineCorrect,LSTM autoencoder,0.7908496732,0.005686104763,0.0001,0.6943431475,0.859375,-0.009373223,0.06174251,1,
DistalPhalanxOutlineCorrect,LSTM autoencoder,0.7908496732,0.005701311398,0.0001,0.5936426258,0.125,-0.38324112,0.19801801,0.5,uniform
DistalPhalanxOutlineCorrect,LSTM autoencoder,0.7908496732,0.005686104763,0.0001,0.6305216467,0.171875,-0.27239493,0.24885556,0.5,example-specific
DistalPhalanxOutlineCorrect,LSTM autoencoder,0.7908496732,0.005686812568,0.0001,0.6378883162,0.203125,-0.3210944,0.22770475,0.5,global
DistalPhalanxOutlineCorrect,No autoencoder,0.7908496732,0,0.0001,0.0382776915,0.921875,-0.021810781,0.106430545,1,
DistalPhalanxOutlineCorrect,No autoencoder,0.7908496732,0,0.0001,0.01831337706,0.734375,-0.13244483,0.22104342,0.5,uniform
DistalPhalanxOutlineCorrect,No autoencoder,0.7908496732,0,0.0001,0.0332572823,0.859375,-0.03905806,0.13425568,0.5,example-specific
