dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
Wafer,LSTM autoencoder,0.9996096799,0.0008730431437,0.0001,0.3410564218,0.3333333333,-0.3096064,0.26354834,0.5,global
Wafer,No autoencoder,0.9996096799,0,0.001,0.3061193305,0.660130719,0.05522912,0.42115727,1,
Wafer,No autoencoder,0.9996096799,0,0.001,0.007422404734,0.006535947712,-0.49346396,0.08058057,0.5,uniform
Wafer,No autoencoder,0.9996096799,0,0.001,0.2271814978,0.5620915033,-0.047351334,0.41126138,0.5,example-specific
Wafer,No autoencoder,0.9996096799,0,0.001,0.2143818731,0.522875817,-0.042594865,0.4459614,0.5,global
TwoLeadECG,1dCNN autoencoder,0.9957264957,0.0001042079748,0.0001,0.1907237956,1,0.00054164475,0.00028520625,1,
TwoLeadECG,1dCNN autoencoder,0.9957264957,0.0001042079748,0.0001,0.1471571231,0.9743589744,-0.008101432,0.06485978,0.5,uniform
TwoLeadECG,1dCNN autoencoder,0.9957264957,0.0001042079748,0.0001,0.1575369072,1,0.0004915371,0.0002672935,0.5,example-specific
TwoLeadECG,1dCNN autoencoder,0.9957264957,0.0001042079748,0.0001,0.160942077,0.9914529915,0.000569692,0.0002814021,0.5,global
TwoLeadECG,LSTM autoencoder,0.9957264957,0.004172650166,0.001,0.9964768371,1,0.00050577597,0.0002885025,1,
TwoLeadECG,LSTM autoencoder,0.9957264957,0.004172650166,0.001,0.5932690728,0.9145299145,6.32E-05,0.0045099882,0.5,uniform
TwoLeadECG,LSTM autoencoder,0.9957264957,0.004172650166,0.001,0.6609306743,0.9743589744,0.00070133625,0.0052246945,0.5,example-specific
TwoLeadECG,LSTM autoencoder,0.9957264957,0.004172650166,0.001,0.7449805242,1,0.00047902775,0.0002776621,0.5,global
TwoLeadECG,No autoencoder,0.9957264957,0,0.001,0.2146087334,1,0.00050153944,0.00027100177,1,
TwoLeadECG,No autoencoder,0.9957264957,0,0.001,0.1214526931,0.8717948718,-0.029686142,0.118613645,0.5,uniform
TwoLeadECG,No autoencoder,0.9957264957,0,0.001,0.1587328823,1,0.000497062,0.00027343407,0.5,example-specific
TwoLeadECG,No autoencoder,0.9957264957,0,0.001,0.1613891597,0.9743589744,0.00043810508,0.00048351893,0.5,global
ToeSegmentation2,1dCNN autoencoder,0.7777777778,0.0002235663123,0.0001,0.4239110787,1,0.00045484098,0.00024501086,1,
ToeSegmentation2,1dCNN autoencoder,0.7777777778,0.0002235663123,0.0001,0.1634460684,0.03448275862,-0.010565886,0.0073562213,0.5,uniform
ToeSegmentation2,1dCNN autoencoder,0.7777777778,0.0002235663123,0.0001,0.4917750151,0.724137931,0.00040899063,0.0003530425,0.5,example-specific
ToeSegmentation2,1dCNN autoencoder,0.7777777778,0.0002235663123,0.0001,0.4716389456,0.8275862069,-0.00027520594,0.0010968294,0.5,global
ToeSegmentation2,LSTM autoencoder,0.7777777778,0.01524911355,0.0001,2.274881409,0,-0.0022942598,9.56E-05,1,
ToeSegmentation2,LSTM autoencoder,0.7777777778,0.01524911355,0.0001,2.278872209,0,-0.0031525185,0.00020933674,0.5,uniform
ToeSegmentation2,LSTM autoencoder,0.7777777778,0.01524911355,0.0001,2.2798681,0,-0.0031349896,0.00024793396,0.5,example-specific
ToeSegmentation2,LSTM autoencoder,0.7777777778,0.01524911355,0.0001,2.278060777,0,-0.0031376698,0.00023060328,0.5,global
ToeSegmentation2,No autoencoder,0.7777777778,0,0.001,0.1680382874,1,0.00055736507,0.00028922528,1,
ToeSegmentation2,No autoencoder,0.7777777778,0,0.001,0.009953089022,0.1379310345,-0.0114441,0.007846641,0.5,uniform
ToeSegmentation2,No autoencoder,0.7777777778,0,0.001,0.254673774,1,0.00041108913,0.00030265018,0.5,example-specific
ToeSegmentation2,No autoencoder,0.7777777778,0,0.001,0.2420126472,1,0.0003328467,0.00023921297,0.5,global
ToeSegmentation1,1dCNN autoencoder,0.7129120879,0.000289320451,0.0001,0.4617626945,1,0.00059354305,0.00028879975,1,
ToeSegmentation1,1dCNN autoencoder,0.7129120879,0.000289320451,0.0001,0.3234432676,0.8292682927,-0.04870198,0.14834969,0.5,uniform
ToeSegmentation1,1dCNN autoencoder,0.7129120879,0.000289320451,0.0001,0.4057848478,0.9756097561,0.0002455537,0.0023138192,0.5,example-specific
ToeSegmentation1,1dCNN autoencoder,0.7129120879,0.000289320451,0.0001,0.4032510719,0.9756097561,0.0008533662,0.0022128285,0.5,global
ToeSegmentation1,LSTM autoencoder,0.7129120879,0.01488258224,0.001,2.471950956,0.1951219512,-0.15850212,0.20108855,1,
ToeSegmentation1,LSTM autoencoder,0.7129120879,0.01488258224,0.001,2.288616362,0.0487804878,-0.26292467,0.19031292,0.5,uniform
